course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_date,subject
903378,The Python Bible™ | Everything You Need to Program in Python,https://www.udemy.com/course/the-python-bible/,2099.99,179180,55467,74,Beginner Level,4.5762973,9.0,2016-07-12,Python
765242,R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/course/r-programming/,2999.99,275491,55117,80,All Levels,4.6465087,10.5,2016-02-17,R (programming language)
1352468,Master Microservices with Spring Boot and Spring Cloud,https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,2799.99,271750,54330,326,All Levels,4.5748405,25.5,2017-09-16,Microservices
5238734,The Complete Prompt Engineering for AI Bootcamp (2024),https://www.udemy.com/course/prompt-engineering-for-ai/,1599.99,136708,53791,216,All Levels,4.4757843,22.0,2023-03-28,Prompt Engineering
947098,Understanding TypeScript,https://www.udemy.com/course/understanding-typescript/,1699.99,257648,53529,199,All Levels,4.6358657,15.0,2016-09-01,Typescript
2121018,Mastering Data Structures & Algorithms using C and C++,https://www.udemy.com/course/datastructurescncpp/,1699.99,212510,52262,390,All Levels,4.58701,58.5,2019-01-02,Data Structures
822444,Python and Django Full Stack Web Developer Bootcamp,https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,2999.99,216055,50906,198,All Levels,4.486112,32.0,2016-04-15,Django
1879018,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",https://www.udemy.com/course/nodejs-the-complete-guide/,1699.99,273335,50284,544,All Levels,4.627692,40.5,2018-08-27,Express Framework
364426,JavaScript: Understanding the Weird Parts (2024 Edition),https://www.udemy.com/course/understand-javascript/,2499.99,194351,48575,92,All Levels,4.77057,12.5,2014-12-06,JavaScript
1535678,Java Programming for Complete Beginners,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,2799.99,283011,47926,524,Beginner Level,4.540066,42.0,2018-02-01,Java
666914,Python for Beginners: Learn Python Programming (Python 3),https://www.udemy.com/course/python-programming-projects/,799.99,156510,47701,78,All Levels,4.4187226,3.0,2015-11-11,Python
1151632,"Deep Learning A-Z 2024: Neural Networks, AI & ChatGPT Prize",https://www.udemy.com/course/deeplearning/,2599.99,389740,47208,189,All Levels,4.5608635,22.5,2017-03-20,Deep Learning
1075642,Apache Kafka Series - Learn Apache Kafka for Beginners v3,https://www.udemy.com/course/apache-kafka/,1299.99,249311,47070,121,All Levels,4.5397325,8.5,2017-01-14,Apache Kafka
1298780,Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,1699.99,212995,45974,92,All Levels,4.5469084,5.0,2017-07-20,Data Science
5192882,Introduction to OpenAI API & ChatGPT API for Developers,https://www.udemy.com/course/introduction-to-openai-api-chatgpt-api-chatgpt-plugins/,799.99,86402,45529,40,All Levels,4.533485,3.0,2023-03-04,ChatGPT
1026604,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",https://www.udemy.com/course/advanced-css-and-sass/,1699.99,216132,44920,126,Intermediate Level,4.761695,28.0,2016-11-29,CSS
959700,The Complete React Native + Hooks Course,https://www.udemy.com/course/the-complete-react-native-and-redux-course/,2799.99,193277,44889,436,All Levels,4.5939903,38.5,2016-09-16,React Native
